優先級,描述,備註
1,進入戰場時,兵種、巔峰進場狀態等等
2,回合開始時,浮世繪
3,回合結束时,浮世繪
4,自身攜帶的影之精要生效後,神佑、不動、鐵壁
5,造成傷害後,攻擊回復-極
6,受到除友方直接傷害外的傷害被擊破後,
7,被擊破後,
8,擊殺敵方四維最高或兵力最多的一隻部隊後,軍師技-擒賊擒王
9,敵方前排部隊被擊破後,
10,進入戰場時,
11,替補進入戰場時,
12,自身兵力減少至50%後,
13,自身兵力減少至70%後,
14,敵方部隊被擊破後,
15,我方全體武將每損失出征總兵力的20%後,軍師技-請君入甕
16,自身奧義技擊破敵方部隊後,
17,己方或敵方部隊兵力減少至50%後（直接被擊破時不觸發）,
18,我方全體武將每損失出征總兵力的40%後,軍師技-請君入甕
19,己方部隊被擊破後,軍師技-金蟬脫殼
20,己方普攻被招架後,
21,回合開始時,軍師技-四面楚歌、無中生有
22,自身招架後,
23,己方招架後,
24,敵方受到另一敵方傷害後,
25,敵方每釋放4次覺醒技後,軍師技-反客為主
26,友軍賦予潰散/混亂/重創狀態後（自身不觸發）,
27,友軍對有潰散/混亂/重創的敵方武將造成直接傷害後（自身不觸發）,
28,敵方每釋放3次覺醒技後,
29,受到敵方覺醒技傷害後,
30,受到敵方覺醒技或突破技傷害後,
31,己方每受到10次傷害後,
32,敌方被施加醉意buff时,
33,己方受到技能暴擊後,
34,自身技能暴擊後,
35,友軍部隊技能暴擊後（自身不觸發）,
36,回合結束時,
37,自身行動後（重擊不觸發）,
38,識破後,
39,己方識破後,
40,普攻與奧義技使對手生命降低到55%以下後,
41,普攻與奧義技造成傷害後,
42,自身釋放奧義技後,
43,敵方釋放奧義技後,
44,己方釋放奧義技後,
45,敵方回復奧義後,
46,受到非自身來源（自身技能、攻擊回復等）的效果回复兵力时,
47,敌方回复兵力时,
48,己方失去一個正面狀態後,
49,敵方失去一個正面狀態後,
50,己方失去一個負面狀態後,
51,敵方失去一個負面狀態後,
52,衰頹BUFF造成敵方奧義減少後,
53,己方普通攻擊被閃避後,
54,己方閃避後,
55,閃避後,
56,普攻暴擊後,
57,己方普攻暴擊後,
58,普攻結束後,
59,己方普攻結束後,
60,己方普通攻擊造成傷害後追擊,
61,友軍部隊普攻結束後（自身普攻不觸發）,
62,己方部隊兵力減少至50%後,
63,敵軍部隊減少至60%後,
64,自身獲得正面狀態時,
65,自身獲得負面狀態時,
66,受到攻擊後,
67,受到普通攻擊傷害後,
68,受到普通攻擊或奧義技傷害後,
69,己方受到普通攻擊傷害後,
70,受到奧義技傷害後,
71,受到奧義技回復兵力後,
72,自身獲得護盾時,
73,自身護盾被擊破時,
74,敵方護盾被擊破時,
75,己方護盾被擊破時,
100,每回合敵方首支部隊行動後,
101,每回合己方首支部隊行動後,
102,敵方每部隊每回合首次行動後（重擊不觸發）,
103,己方每部隊每回合首次行動後（重擊不觸發）,
104,敵方每釋放3次奧義技後,軍師技-反客為主
105,敵方每釋放2次覺醒技後,
106,敵方釋放覺醒技後,
107,敵方每釋放5次突破技或覺醒技後,
108,敵方每釋放4次突破技或覺醒技後,
